,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DF_ACE,AVR_DF,DF_PFS,DF_PSS,WIN,Break,H2H,DF_POINT,DF_RANK,PPM,complet,FATIGUE
3682,10415,27357,12992,4,2016-05-31 00:00:00,7.8778276214,-1.8320512821,0.0329514064,-0.0206815035,0.0807692308,0.0318161237,0,91,-514,-0.0456520424,587.710230348,0
3683,1936,21506,12992,4,2016-05-31 00:00:00,-0.233771125,-0.182678669,-0.0254856657,-0.0309974136,0.0802728717,0.0273605198,0,403,-332,0.000645845,45.9229125769,0
3684,1747,8721,12992,4,2016-05-31 00:00:00,1.3236782902,-0.7348313407,0.0453174668,0.0624413976,-0.0875421822,-0.0812197173,0,26,-32,-0.0577151664,54.8041484649,0
3685,10828,7970,12992,4,2016-05-31 00:00:00,-5.677131041,0.7274074142,-0.0492713374,0.0010809344,-0.0087928986,0.0481059716,0,-49,58,0.0371531901,-545.6895936864,0
3686,14814,5129,12992,4,2016-05-31 00:00:00,-2.7204374057,-0.0338612368,-0.0072689294,0.0309030386,-0.0404223228,0.0400442093,0,-428,193,0.0011544254,-232.1841716774,0
3687,19962,3316,12993,4,2016-05-31 00:00:00,2.581316726,1.9107264229,0.0198654708,0.0155899069,-0.0417927046,-0.0011597923,0,-182,341,-0.01904492,-70.1654937102,0
3688,762,20099,12993,4,2016-05-31 00:00:00,-4.8870016844,-1.1054540631,-0.0230404935,-0.0120991399,0.0471645143,0.0352009306,0,565,-379,0.0450778534,332.1614277217,0
3689,9584,9305,12993,4,2016-05-31 00:00:00,1.8431711146,-0.5161433804,0.0249844606,0.0225359206,-0.0288069074,0.0036530361,0,67,-93,0.0001298114,379.2562741032,0
3690,22437,11815,13231,4,2016-05-31 00:00:00,-0.3805959007,1.2591836735,-0.0553843909,-0.1139421911,0.2846938776,0.0077110418,0,8,-91,0.0870758687,10.2671044215,0
3691,28932,20102,13231,4,2016-05-31 00:00:00,3.3661351774,-1.5741360089,-0.0536791368,-0.1417597022,0.2675585284,0.0831499858,0,-1,-14,0.0148285948,75.6638968545,0
